PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_LOCATION,TOPIC
Ita Hydroelectric Power Plant Brazil,1450,Brazil,Rio Grande do Sul,HYDRO,Environmentally Responsible,-27.283,-52.3906,"-27.283, -52.3906",Dam on river with reservoir,Base Load,"Ita, On the border of Santa Catarina and Rio Grande do Sul, Brazil",POWERPLANTS
Itauba Hydroelectric Power Plant Brazil,500,Brazil,Rio Grande do Sul,HYDRO,Environmentally Responsible,-29.2618,-53.2362,"-29.2618, -53.2362",Dam on river with reservoir,,"Pinhal Grande, Rio Grande do Sul, Brazil",POWERPLANTS
Santo Antonio Hydroelectric Power Plant Brazil,859.2,Brazil,Rondonia,HYDRO,Environmentally Responsible,-8.8,-63.9515,"-8.8, -63.9515",Dam with run-of-river generation,Base Load,"Porto Velho, Rondonia, Brazil",POWERPLANTS
Agua Vermelha Hydroelectric Power Plant Brazil,1396,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-19.8641,-50.3472,"-19.8641, -50.3472",Dam on river with reservoir,Base Load,"near Iturama in Minas Gerais/Sao Paulo, Brazil",POWERPLANTS
Eng Souza Dias (Jupia) Hydroelectric Power Plant Brazil,1551.2,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-20.77778,-51.629167,"-20.77778, -51.629167",Dam on river with reservoir,,"Tres Lagoas, Sao Paulo, Brazil",POWERPLANTS
Paraibuna Hydroelectric Power Plant Brazil,85,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-23.4126,-45.6026,"-23.4126, -45.6026",Dam on river with reservoir,Intermediate Load,"Sao Paulo, Brazil",POWERPLANTS
Lucas Nogueira Garcez (Salto Grande) Hydroelectric Power Plant Brazil,74,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-22.9043,-49.9986,"-22.9043, -49.9986",Dam with run-of-river generation,,"Sao Paulo, Brazil",POWERPLANTS
Bariri Hydroelectric Power Plant Brazil,136.8,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-22.1538,-48.7537,"-22.1538, -48.7537",Dam on river with reservoir,,"Bariri, Sao Paulo, Brazil",POWERPLANTS
Estreito Hydroelectric Power Plant Brazil,1087,Brazil,Tocantins,HYDRO,Environmentally Responsible,-6.588,-47.4646,"-6.588, -47.4646",Dam on river with reservoir,,"Estreito, On the border of the states of Tocantins and Maranhao, Brazil",POWERPLANTS
Sao Salvador Hydroelectric Power Plant Brazil,243,Brazil,Tocantins,HYDRO,Environmentally Responsible,-12.8151,-48.237,"-12.8151, -48.237",Dam on river with reservoir,,"Sao Salvador, Tocantins, Brazil",POWERPLANTS
Aleko Hydroelectric Power Plant Bulgaria,66,Bulgaria,Pazardzhik,HYDRO,Environmentally Responsible,42.1194,24.289,"42.1194, 24.289",Water discharged from another project,Peaking Load and Backup,"Aleko Konstantinovo, Pazardzhik, Bulgaria",POWERPLANTS
Krichim Hydroelectric Power Plant Bulgaria,80,Bulgaria,Plovdiv,HYDRO,Environmentally Responsible,41.99178,24.468033,"41.99178, 24.468033",Dam on river with reservoir,Peaking Load and Backup,"18km from Krichim, Plovdiv, Bulgaria",POWERPLANTS
Kamchay Hydroelectric Power Plant Cambodia,193,Cambodia,Kampot,HYDRO,Environmentally Responsible,10.7045,104.1175,"10.7045, 104.1175",Dam on river with reservoir,,"Bokor National Park (BNP), Kampot, Cambodia",POWERPLANTS
Edea Hydroelectric Power Plant Cameroon,264,Cameroon,Littoral,HYDRO,Environmentally Responsible,3.8113,10.1292,"3.8113, 10.1292",,,"Littoral, Cameroon",POWERPLANTS
Ash River Hydroelectric Power Plant Canada,28,Canada,British Columbia,HYDRO,Environmentally Responsible,49.3738,-125.1509,"49.3738, -125.1509",Dam on river with reservoir,,"Central Vancouver Island, Regional District of Alberni-Clayoquot",POWERPLANTS
Ladore Hydroelectric Generating Station Canada,47,Canada,British Columbia,HYDRO,Environmentally Responsible,50.01723,-125.3929,"50.01723, -125.3929",Dam on river with reservoir,,Vancouver Island/ British Columbia,POWERPLANTS
Ruskin Hydroelectric Generating Station Canada,105.6,Canada,British Columbia,HYDRO,Environmentally Responsible,49.1958,-122.4076,"49.1958, -122.4076",Dam on river with reservoir,,"Ruskin, British Columbia, Canada",POWERPLANTS
Wahleach Generating Station Canada,63,Canada,British Columbia,HYDRO,Environmentally Responsible,49.236556,-121.680556,"49.236556, -121.680556",,,,POWERPLANTS
Mica Creek Hydroelectric Power Plant Canada,1804,Canada,British Columbia,HYDRO,Environmentally Responsible,52.077,-118.5664,"52.077, -118.5664",Dam on river with reservoir,,"135 km N of Revelstoke, British Columbia, Canada",POWERPLANTS
Seven Mile Hydroelectric Power Plant Canada,805,Canada,British Columbia,HYDRO,Environmentally Responsible,49.03,-117.503,"49.03, -117.503",Dam on river with reservoir,,"Fruitvale, British Columbia, Canada",POWERPLANTS
Stave Falls Hydroelectric Power Plant Canada,90,Canada,British Columbia,HYDRO,Environmentally Responsible,49.2295,-122.3555,"49.2295, -122.3555",Dam on river with reservoir,,,POWERPLANTS
Alouette Hydroelectric Generating Station Canada,9,Canada,British Columbia,HYDRO,Environmentally Responsible,49.3713,-122.31313,"49.3713, -122.31313",Dam on river with reservoir,,"16 km N of Stave Falls, British Columbia",POWERPLANTS
Kootenay Canal Hydroelectric Generating Station Canada,583,Canada,British Columbia,HYDRO,Environmentally Responsible,49.453,-117.5181,"49.453, -117.5181",Dam on river with reservoir,,"Midway between Nelson and Castlegar, British Colombia, Canada",POWERPLANTS
Lake Buntzen II Hydroelectric Generating Station Canada,26.7,Canada,British Columbia,HYDRO,Environmentally Responsible,49.3706,-122.8737,"49.3706, -122.8737",Dam on a lake,Peaking Load,"Buntzen Lake, British Columbia, Canada",POWERPLANTS
Clowhom Hydroelectric Generating Station Canada,33,Canada,British Columbia,HYDRO,Environmentally Responsible,49.7109,-123.5322,"49.7109, -123.5322",Dam on river with reservoir,Intermediate/Peak Load,"Sunshine Coast in south western British Columbia, Canada",POWERPLANTS
Great Falls Hydroelectric Generating Station Plant Canada,136,Canada,Manitoba,HYDRO,Environmentally Responsible,50.46308,-96.0067,"50.46308, -96.0067",Dam with run-of-river generation,,"Great Falls, Manitoba, Canada",POWERPLANTS
Jenpeg Hydroelectric Generating Station Canada,168,Canada,Manitoba,HYDRO,Environmentally Responsible,54.5438,-98.0277,"54.5438, -98.0277",Dam with run-of-river generation,,"Jenpeg, Manitoba, Canada",POWERPLANTS
Limestone Hydroelectric Generating Station Canada,1340,Canada,Manitoba,HYDRO,Environmentally Responsible,56.5079,-94.1099,"56.5079, -94.1099",Dam with run-of-river generation,,"Bird, Manitoba, Canada",POWERPLANTS
Pointe du Bois Hydroelectric Power Plant Canada,77,Canada,Manitoba,HYDRO,Environmentally Responsible,50.298,-95.5482,"50.298, -95.5482",Dam with run-of-river generation,,"Pointe du Bois, Manitoba, Canada",POWERPLANTS
Beechwood Hydroelectric Generating Station Canada,113,Canada,New Brunswick,HYDRO,Environmentally Responsible,46.5418,-67.6696,"46.5418, -67.6696",Dam with run-of-river generation,,"Beechwood, New Brunswick, Canada",POWERPLANTS
Tinker Hydro Generaton Station Canada,34.5,Canada,New Brunswick,HYDRO,Environmentally Responsible,46.80575104,-67.77380526,"46.8057510445, -67.7738052607",,,,POWERPLANTS
Grand Falls Hydroelectric Power Plant Canada,63,Canada,New Brunswick,HYDRO,Environmentally Responsible,47.051389,-67.74,"47.051389, -67.74",Dam with run-of-river generation,,,POWERPLANTS
Churchill Falls Hydroelectric Generating Station Canada,5429,Canada,Newfoundland and Labrador,HYDRO,Environmentally Responsible,53.52459478,-63.97270203,"53.524594783, -63.9727020264",Dam on river with reservoir,,"Churchill Falls, Newfoundland and Labrador, Canada",POWERPLANTS
Caribou Falls Hydroelectric Generating Station Canada,,Canada,Ontario,HYDRO,Environmentally Responsible,50.26191227,-94.97526169,"50.2619122694, -94.9752616882",,,,POWERPLANTS
Chats Falls Hydroelectric Generating Station Canada,96,Canada,Ontario,HYDRO,Environmentally Responsible,45.47397542,-76.24031067,"45.4739754229, -76.2403106689",,,,POWERPLANTS
Des Joachims Hydroelectric Generating Station Canada,432,Canada,Ontario,HYDRO,Environmentally Responsible,46.18101897,-77.69685745,"46.1810189733, -77.6968574524",,,,POWERPLANTS
Healey Falls Hydroelectric Generating Station Canada,15.7,Canada,Ontario,HYDRO,Environmentally Responsible,44.37147779,-77.77899742,"44.3714777936, -77.7789974213",Dam with run-of-river generation,,"8 km North of Campbellford, Ontario, Canada",POWERPLANTS
Hound Chute Hydroelectric Generating Station Canada,3.6,Canada,Ontario,HYDRO,Environmentally Responsible,47.3049894,-79.69752789,"47.3049894039, -79.6975278854",,,,POWERPLANTS
Lakefield Hydroelectric Generating Station Canada,2,Canada,Ontario,HYDRO,Environmentally Responsible,44.42098452,-78.27209473,"44.4209845201, -78.2720947266",,,,POWERPLANTS
South Falls Hydroelectric Generating Station Canada,5,Canada,Ontario,HYDRO,Environmentally Responsible,44.99278705,-79.20138359,"44.9927870476, -79.2013835907",,,,POWERPLANTS
Stewartville Hydroelectric Generating Station Canada,182,Canada,Ontario,HYDRO,Environmentally Responsible,45.40696218,-76.50670767,"45.4069621806, -76.5067076683",,,,POWERPLANTS
Kipling Hydroelectric Generating Station Canada,157,Canada,Ontario,HYDRO,Environmentally Responsible,50.1453,-82.2085,"50.1453, -82.2085",Dam on river with reservoir,Base/Intermediate Load,"93km North of Kapuskasing, Ontario, Canada",POWERPLANTS
Ear falls Hydroelectric Generating Station Canada,18.625,Canada,Ontario,HYDRO,Environmentally Responsible,50.6311,-93.2206,"50.6311, -93.2206",Dam on river with reservoir,,"Ear Falls, Ontario, Canada",POWERPLANTS
Indian Chutes Hydroelectric Generating Station Canada,3,Canada,Ontario,HYDRO,Environmentally Responsible,47.8402,-80.4484,"47.8402, -80.4484",Dam on river with reservoir,,"16km NW of Elk Lake, Ontario, Canada",POWERPLANTS
Red Rock Hydroelectric Generating Station Canada,41,Canada,Ontario,HYDRO,Environmentally Responsible,46.3153,-83.2902,"46.3153, -83.2902",Dam on river with reservoir,,"10 km West of Iron Bridge, Ontario, Canada",POWERPLANTS
Carillon Hydroelectric Generating Station Canada,752,Canada,Quebec,HYDRO,Environmentally Responsible,45.567489,-74.38310623,"45.5674889998, -74.3831062317",,,,POWERPLANTS
Chute-des-Chats Hydroelectric Generating Station Canada,79,Canada,Quebec,HYDRO,Environmentally Responsible,45.47373467,-76.23842239,"45.473734673, -76.2384223938",,,,POWERPLANTS
Grand-Mere Hydroelectric Generating Station Canada,105,Canada,Quebec,HYDRO,Environmentally Responsible,46.6137782,-72.6783371,"46.6137782015, -72.6783370972",,,,POWERPLANTS
Laforge-1 Hydroelectric Generating Station Canada,878,Canada,Quebec,HYDRO,Environmentally Responsible,54.16866486,-72.61490822,"54.1686648649, -72.6149082184",,,,POWERPLANTS
Laforge-2 Hydroelectric Generating Station Canada,319,Canada,Quebec,HYDRO,Environmentally Responsible,54.588889,-71.280556,"54.588889, -71.280556",,,,POWERPLANTS
Mitis-1 Hydroelectric Generating Station Canada,6.2,Canada,Quebec,HYDRO,Environmentally Responsible,48.60187109,-68.13609123,"48.601871091, -68.1360912323",,,,POWERPLANTS
Rocher-de-Rocher-de-Grand-Mere Hydroelectric Generating Station Canada,230,Canada,Quebec,HYDRO,Environmentally Responsible,46.61442674,-72.67816544,"46.6144267378, -72.6781654358",Dam with run-of-river generation,,"Grand Mere, Quebec, Canada",POWERPLANTS
Shawinigan-3 Hydroelectric Generating Station Canada,183.6,Canada,Quebec,HYDRO,Environmentally Responsible,46.53357998,-72.76560545,"46.5335799767, -72.7656054497",,,,POWERPLANTS
Outardes-3 Hydroelectric Power Plant Canada,1026,Canada,Quebec,HYDRO,Environmentally Responsible,49.5567,-68.7241,"49.5567, -68.7241",Dam with run-of-river generation,Base Load,"55 km northwest of Baie-Comeau, Quebec, Canada",POWERPLANTS
Peribonka Hydroelectric Power Plant Canada,405,Canada,Quebec,HYDRO,Environmentally Responsible,49.5078,-71.1831,"49.5078, -71.1831",Dam with run-of-river generation,Base Load,"Quebec, Canada",POWERPLANTS
Nipawin Hydroelectric Generating Station Canada,225,Canada,Saskatchewan,HYDRO,Environmentally Responsible,53.319,-104.0424,"53.319, -104.0424",Dam with run-of-river generation,,"Nipawin, Saskatchewan, Canada",POWERPLANTS
M'Bali Hydroelectric Power Plant CAR,,Central African Republic,Ombella-MPoko,HYDRO,Environmentally Responsible,4.9196,18.0018,"4.9196, 18.0018",Dam on river with reservoir,,"Near Vange, Ombella-MPoko, Central African Republic",POWERPLANTS
Boali II Hydroelectric Power Plant CAR,9.9,Central African Republic,Ombella-MPoko,HYDRO,Environmentally Responsible,4.881,18.0338,"4.881, 18.0338",Dam with run-of-river generation,,"E of Vange, Ombella-MPoko, Central African Republic",POWERPLANTS
Los Molles Hydroelectric Power Plant Chile,18,Chile,IV Region de Coquimbo,HYDRO,Environmentally Responsible,-30.7438,-70.5878,"-30.7438, -70.5878",Barrage with run-of-river Generation,,"IV Region de Coquimbo, Chile",POWERPLANTS
Alfalfal Hydroelectric Power Plant Chile,178,Chile,Region Metropolitana de Santiago,HYDRO,Environmentally Responsible,-33.501,-70.1931,"-33.501, -70.1931",Dam with run-of-river generation,,"Route G-345 Km 23, San Jos de Maipo, Chile",POWERPLANTS
Queltehues Hydroelectric Power Plant Chile,41,Chile,Region Metropolitana de Santiago,HYDRO,Environmentally Responsible,-33.8128,-70.2194,"-33.8128, -70.2194",Barrage with run-of-river Generation,,"San Jose de Maipo, Region Metropolitana de Santiago, Chile",POWERPLANTS
La Confluencia Hydroelectric Power Plant Chile,160,Chile,VI Region del Libertador General Bernardo OHiggins,HYDRO,Environmentally Responsible,-34.8338,-70.5535,"-34.8338, -70.5535",Barrage with run-of-river Generation,Base/Intermediate Load,"VI Region del Libertador General Bernardo OHiggins, Chile",POWERPLANTS
Curillinque Hydroelectric Power Plant Chile,89,Chile,VII Region del Maule,HYDRO,Environmentally Responsible,-35.8055,-70.9417,"-35.8055, -70.9417",Barrage with run-of-river Generation,,"VII Region del Maule, Chile",POWERPLANTS
Ralco Hydroelectric Power Plant Chile,690,Chile,VIII Region del Bio - Bio,HYDRO,Environmentally Responsible,-37.9992,-71.5196,"-37.9992, -71.5196",Dam on river with reservoir,Base/Intermediate Load,"VIII Region del Bio - Bio, Chile",POWERPLANTS
Peuchen Hydroelectric Power Plant Chile,85,Chile,VIII Region del Bio - Bio,HYDRO,Environmentally Responsible,-37.5412,-71.5963,"-37.5412, -71.5963",Dam with run-of-river generation,,"Santa Barbara district, VIII Region del Bio - Bio, Chile",POWERPLANTS
Central Hidroelectrica Rio Laja Chile,34.4,Chile,VIII Region del Bio - Bio,HYDRO,Environmentally Responsible,-37.24417,-72.52976,"-37.24417, -72.52976",Dam on river with reservoir,,"VIII Region del Bio - Bio, Chile",POWERPLANTS
Pilmaiquen Hydroelectric Power Plant Chile,40.8,Chile,X Region de los Lagos,HYDRO,Environmentally Responsible,-40.638,-72.6496,"-40.638, -72.6496",Dam with run-of-river generation,,"X Region de los Lagos, Chile",POWERPLANTS
Gaobazhou Hydroelectric Power Plant China,360,China,Hubei,HYDRO,Environmentally Responsible,30.3981,111.3412,"30.3981, 111.3412",Dam on river with reservoir,,"Yidu City, Zhicheng, Hubei Province, China",POWERPLANTS
Pankou Hydroelectric Power Plant China,513,China,Hubei,HYDRO,Environmentally Responsible,32.2127,110.1575,"32.2127, 110.1575",Dam on river with reservoir,Peaking Load,"Pankou Town, Zhushan County, Shiyan City, Hubei, China",POWERPLANTS
Hongshi Dam Hydroelectric Power Plant China,200,China,Jilin,HYDRO,Environmentally Responsible,42.9495,127.1313,"42.9495, 127.1313",Dam on river with reservoir,Intermediate/Peak Load,"Hongshi, Huadian, Jilin Province, China",POWERPLANTS
Tianhuangping Pumped Storage Power Plant China,1800,China,Zhejiang,HYDRO,Environmentally Responsible,30.4703,119.605833,"30.4703, 119.605833",Pumped Storage Power Plant,Peaking Load,"Tainhuangping, Anji County of Zhejiang Province, China",POWERPLANTS
Miel I (Patangoras) Hydroelectric Power Plant Colombia,396,Colombia,Caldas,HYDRO,Environmentally Responsible,5.56055,-74.8866,"5.56055, -74.8866",Dam on river with reservoir,,"Norcasia, Caldas, Colombia",POWERPLANTS
San Francisco Hydroelectric Power Plant Colombia,135,Colombia,Caldas,HYDRO,Environmentally Responsible,5.04993,-75.74298,"5.04993, -75.74298",Dam on river with reservoir,Peaking Load,"Caldas, Colombia",POWERPLANTS
Alto Anchicaya Hydroelectric Power Plant Colombia,365,Colombia,Valle del Cauca,HYDRO,Environmentally Responsible,3.5333,-76.8675,"3.5333, -76.8675",Dam on river with reservoir,,"Valle del Cauca, Columbia",POWERPLANTS
Alberto Echandi Hydroelectric Station Costa Rica,4.7,Costa Rica,Alajuela,HYDRO,Environmentally Responsible,10.391583,-84.4382721,"10.391583, -84.4382721",,,,POWERPLANTS
Penas Blancas Hydroelectric Power Plant Costa Rica,38,Costa Rica,Alajuela,HYDRO,Environmentally Responsible,10.391583,-84.4382721,"10.391583, -84.4382721",,,,POWERPLANTS
Toro II Hydroelectric Power Station Costa Rica,65.2,Costa Rica,Alajuela,HYDRO,Environmentally Responsible,10.222,-84.3058,"10.222, -84.3058",,,,POWERPLANTS
Avance,,Costa Rica,Cartago,HYDRO,Environmentally Responsible,9.7539596,-83.6773928,"9.7539596, -83.6773928",,,,POWERPLANTS
Birris #2,,Costa Rica,Cartago,HYDRO,Environmentally Responsible,9.7539596,-83.6773928,"9.7539596, -83.6773928",,,,POWERPLANTS
Rio Macho Hydroelectic Power Plant Costa Rica,120,Costa Rica,Cartago,HYDRO,Environmentally Responsible,9.7757,-83.8414,"9.7757, -83.8414",Dam with run-of-river generation,Base/Intermediate Load,"Valle de Orosi, Paraiso, Cartago, Costa Rica",POWERPLANTS
Corobici (Miguel Pablo Dengo) Hydroelectric Power Plant Costa Rica,180,Costa Rica,Guanacaste,HYDRO,Environmentally Responsible,10.4695,-85.0763,"10.4695, -85.0763",Water discharged from another project,Intermediate/Peak Load,"Canas, Guanacaste Costa Rica",POWERPLANTS
Brasil,,Costa Rica,San Jose,HYDRO,Environmentally Responsible,9.9402023,-84.1001885,"9.9402023, -84.1001885",,,,POWERPLANTS
Gojak Hydroelectric Power Plant Croatia Croatia,55.5,Croatia,Karlovacka,HYDRO,Environmentally Responsible,45.2989,15.2633,"45.2989, 15.2633",Dam with run-of-river generation,,"near Ogulin, Karlovac County, Croatia",POWERPLANTS
Lesce Hydroelectric Power Plant Croatia Croatia,42.3,Croatia,Karlovacka,HYDRO,Environmentally Responsible,45.3485,15.3452,"45.3485, 15.3452",Dam with run-of-river generation,,"Lesce, Karlovacka, Croatia",POWERPLANTS
Cakovec Hydroelectric Power Plant Croatia Croatia,76,Croatia,Medimurska,HYDRO,Environmentally Responsible,46.3113,16.4945,"46.3113, 16.4945",Dam with run-of-river generation,,"Orehovica, Ulica Nikole Tesle 31, Medimurska, Croatia",POWERPLANTS
Vinodol Hydroelectric Power System Croatia Croatia,90,Croatia,Primorsko-Goranska,HYDRO,Environmentally Responsible,45.2286,14.6736,"45.2286, 14.6736",Dam on river with reservoir,,"Primorsko-Goranska, Croatia",POWERPLANTS
Orlovac Hydroelectric Power Plant Croatia,237,Croatia,Splitsko-Dalmatinska,HYDRO,Environmentally Responsible,43.6737,16.784,"43.6737, 16.784",Dam on a lake,Peaking Load,"Sinj, Splitsko-Dalmatinska, Croatia",POWERPLANTS
Slapy Hydroelectric Power Plant Czech Republic,144,Czech Republic,Stredocesky,HYDRO,Environmentally Responsible,49.82354,14.434501,"49.82354, 14.434501",Dam on river with reservoir,,"Slapy, Stredocesky, Czech Republic",POWERPLANTS
Zongo Hydroelectric Power Plant Democratic Republic of the Congo,75,Democratic Republic of the Congo,Bas-Congo,HYDRO,Environmentally Responsible,-4.7779,14.9059,"-4.7779, 14.9059",Dam on river with reservoir,,"Near Kinshasa, Bas-Congo, Democratic Republic of the Congo",POWERPLANTS
Nseke Hydroelectric Power Plant Democratic Republic of the Congo,260,Democratic Republic of the Congo,Katanga,HYDRO,Environmentally Responsible,-10.30442,25.40678,"-10.30442, 25.40678",Dam on river with reservoir,Base Load,"North of Kolwezi, Katanga, Democratic Republic of the Congo",POWERPLANTS
Ruzizi I Hydroelectric Power Plant Democratic Republic of the Congo,29.2,Democratic Republic of the Congo,Sud-Kivu,HYDRO,Environmentally Responsible,-2.509005,28.87528,"-2.509005, 28.87528",Dam on a lake,Base Load,"Bukavu, South end of Lake Kivu, Sud-Kivu, Democratic Republic of the Congo",POWERPLANTS
Ruzizi II Hydroelectric Power Plant Democratic Republic of the Congo,42,Democratic Republic of the Congo,Sud-Kivu,HYDRO,Environmentally Responsible,-2.63344,28.90266,"-2.63344, 28.90266",Dam with run-of-river generation,Base Load,"Bukavu, South end of Lake Kivu, Sud-Kivu, Democratic Republic of the Congo",POWERPLANTS
Aswan High Dam Hydroelectric Power Plant Egypt,2100,Egypt,Aswan,HYDRO,Environmentally Responsible,23.97211,32.88285,"23.97211, 32.88285",Dam on river with reservoir,Seasonal: Base,"13 km south of Aswan, Egypt",POWERPLANTS
Esna (Isna) Hydroelectric Power Plant Egypt,86,Egypt,Qina,HYDRO,Environmentally Responsible,25.3177,32.5544,"25.3177, 32.5544",Dam with run-of-river generation,Seasonal: Base,"Esna, Qina, Egypt",POWERPLANTS
New Naga Hamadi Hydroelectric Station Egypt,64,Egypt,Qina,HYDRO,Environmentally Responsible,26.15220217,32.14530945,"26.1522021702, 32.1453094482",Barrage with run-of-river Generation,,"Nag Hammadi, 58 km W of Qina, Egypt",POWERPLANTS
Tis Abay I Hydroelectric Power Plant Ethiopia,11.4,Ethiopia,Amhara,HYDRO,Environmentally Responsible,11.48557609,37.58978605,"11.4855760897, 37.5897860527",Weir on a River,Base Load,"Chara Chara, Amhara, Ethiopia",POWERPLANTS
Tana Beles Hydroelectric Power Plant Ethiopia,460,Ethiopia,Amhara,HYDRO,Environmentally Responsible,11.8196,36.9181,"11.8196, 36.9181",Dam on a lake,Base Load,"Tana Lake, Amhara, Ethiopia",POWERPLANTS
Oraison Hydroelectric Power Station France,195,France,Alpes-de-Haute-Provence,HYDRO,Environmentally Responsible,43.921,5.925,"43.921, 5.925",Dam with run-of-river generation,,"Durance, Alpes-de-Haute-Provence, France",POWERPLANTS
Largue Hydroelectric Power Station France,12,France,Alpes-de-Haute-Provence,HYDRO,Environmentally Responsible,43.854,5.859,"43.854, 5.859",Dam with run-of-river generation,,"Manosque, Alpes-de-Haute-Provence, France",POWERPLANTS
Quinson Hydroelectric Power Station France,41,France,Alpes-de-Haute-Provence,HYDRO,Environmentally Responsible,43.699,6.051,"43.699, 6.051",Dam on river with reservoir,,"Quinson, Alpes-de-Haute-Provence, France",POWERPLANTS
Saint Dalmas Hydroelectric Power Station France,50,France,Alpes-Maritimes,HYDRO,Environmentally Responsible,44.047,7.586,"44.047, 7.586",Dam on a lake,,"Saint Dalmas, Alpes-Maritimes, France",POWERPLANTS
